id,panel,zone,cluster,idea,detail,purple_votes,red_votes,total_score,text_confidence,confidence_band,confidence_note,note_color,source_photo,merged_from,merged_with,flags
PA-01,Past,Ballroom,Program & Speakers,Former Pastors Speak,,3,1,7,96,Certain,,yellow (red ink),past_20260908_181435,,,"Dot cluster shared with PA-02; both are Ballroom, so the split matters less. Its red dot photographed the least washed-out of the three, but see PA-03."
PA-02,Past,Ballroom,Program & Speakers,Special Short Speeches from Guests,"ex: CeCee Mills, Pastors, Presidents",0,0,0,100,Confirmed,Confirmed by Mark against the physical note,yellow,past_20260908_181435,,,Headline confirmed; the example names on the second line ('CeCee Mills') were not part of that check.
PA-03,Past,Welcome,Program & Speakers,Introduce pastors from past,,0,1,4,94,Certain,,purple,past_20260908_181435,,,Its dot is pale from the flash and I read it as red — but I made exactly that call on FU-02 and was wrong. Worth checking whether this is purple too.
PA-04,Past,Ballroom,Video & Media,Video Presentation of our Ministries — Past,,3,0,3,95,Certain,,yellow,past_20260908_181417,,,Ballroom cut of the ministries video; PA-20 is the Grounds cut.
PA-05,Past,Rooms,Games,Timeline Game,Guess when the event took place,3,0,3,92,Certain,,blue,past_20260908_181420,,,"Contested dots now cross zones — Timeline Game is Rooms, PA-06 is Ballroom. The attribution matters."
PA-06,Past,Ballroom,Games,Computer game w/ timeline questions,signed 'R—',0,0,0,80,High,Red ink on yellow; a trailing signature ('R—') I couldn't resolve,yellow (red ink),past_20260908_181420,,,May claim dots from PA-05 — but that would move them from Rooms to Ballroom.
PA-07,Past,Grounds,Time Capsule,Open 25th Time Capsule,,2,1,6,95,Certain,,green,past_20260908_181424,PA-07 + PA-08,Open Time Capsule,"Merged with PA-08 — the same idea written twice. Both were Grounds / Honor the Past, so nothing is in tension."
PA-10,Past,Welcome,Food & Drink,Signature Golden Cocktail,,1,0,1,88,High,Read at zoom but the note sits in shadow,purple,past_20260908_181431,,,
PA-11,Past,Rooms,Displays,Table of Remembrance Items,,1,0,1,93,Certain,,blue,past_20260908_181428,,,
PA-12,Past,Welcome,Photos & Memory,Polaroid Guest books,"3 or 4 cameras — paste a photo, write a line (marked 'HP')",1,0,1,85,High,Longest note on the panel; the 'HP' mark at the top is unexplained,purple,past_20260908_181424,,,
PA-13,Past,Rooms,Displays,Historical Displays / Artifacts,,0,0,0,90,Certain,,blue,past_20260908_181431,,,
PA-14,Past,Rooms,Displays,Display history,,0,0,0,92,Certain,,blue,past_20260908_181425,,,
PA-15,Past,Ballroom,Displays,Display tables by decade,,0,0,0,92,Certain,,yellow,past_20260908_181417,,,
PA-16,Past,Welcome,Displays,Display on piano,,0,0,0,94,Certain,,purple,past_20260908_181424,,,
PA-17,Past,Welcome,Displays,Portraits of our Pastors over the years,,0,0,0,92,Certain,,purple,past_20260908_181424,,,
PA-18,Past,Ballroom,Displays,Extra cookbooks for sale display,,0,0,0,88,High,Small writing; 'for sale' read at the edge of legibility,yellow,past_20260908_181417,,,
PA-19,Past,Rooms,Video & Media,Historical Video Running,,0,0,0,92,Certain,,blue,past_20260908_181425,,,
PA-20,Past,Grounds,Video & Media,Video of Ministries over the years,,0,0,0,91,Certain,,green,past_20260908_181431,,,Grounds cut of the ministries video; PA-04 is the Ballroom cut.
